gu_code,monthly_rent,deposit,build_year,year,month,day,dong,apt_name,area,floor,jibun,contract_type,contract_term,prev_deposit,prev_monthly_rent
11650,0,"68,250",2005,2025,5,1,서초동,서초트라팰리스,73.42,7,1344-13,갱신,25.07~27.07,"65,000",
11650,440,"50,000",2020,2025,5,9,서초동,래미안 리더스원,83.12,25,1755,신규,25.06~27.06,,
11650,0,"126,000",2023,2025,5,10,잠원동,신반포르엘,84.92,4,165,신규,25.07~27.07,,
11650,0,"155,000",2025,2025,5,29,잠원동,메이플자이,80.5536,23,60-3,신규,25.07~27.07,,
11650,0,"63,000",2022,2025,5,25,반포동,더샵반포리버파크,49.9281,5,114-1,갱신,25.07~27.07,"60,000",
11650,0,"105,000",2025,2025,5,7,잠원동,메이플자이,49.6998,15,60-3,신규,25.07~27.07,,
11650,160,"35,000",1999,2025,5,23,방배동,방배1차현대홈타운,59.94,16,1344,신규,25.07~27.07,,
11650,210,"100,000",2023,2025,5,10,잠원동,신반포르엘,84.92,9,165,신규,25.07~27.07,,
11650,330,"15,000",2002,2025,5,9,잠원동,동아,84.91,3,157,신규,25.07~27.07,,
11650,450,"50,000",2025,2025,5,8,잠원동,메이플자이,84.8456,26,60-3,신규,25.07~27.07,,
11650,50,"85,000",2002,2025,5,9,잠원동,동아,84.91,3,157,신규,25.07~27.07,,
11650,0,"120,000",2018,2025,5,1,방배동,방배아트자이,84.9152,2,3278,신규,25.07~27.07,,
11650,0,"60,000",2002,2025,5,2,잠원동,동아,84.91,6,157,신규,25.08~27.08,,
11650,220,"40,000",2002,2025,5,26,잠원동,동아,84.91,20,157,신규,25.07~27.07,,
11650,180,"90,000",2025,2025,5,24,잠원동,메이플자이,59.1662,6,60-3,신규,25.07~27.07,,
11650,110,"30,000",2013,2025,5,23,우면동,호반써밋서초파크,59.93,3,788,갱신,25.07~27.07,"30,000",100
11650,440,"20,000",2020,2025,5,12,서초동,래미안 리더스원,59.97,20,1755,신규,25.07~27.07,,
11650,573,"43,000",2021,2025,5,3,반포동,디에이치반포라클라스,104.988,12,1343,갱신,25.07~27.07,"40,000",550
11650,0,"190,000",2019,2025,5,22,잠원동,래미안신반포리오센트,133.37,4,161,갱신,25.07~26.07,"190,000",
11650,270,"95,000",2018,2025,5,23,반포동,반포래미안아이파크,84.93,23,1341,신규,25.07~27.07,,
11650,0,"140,000",2018,2025,5,22,서초동,래미안서초에스티지S,84.17,10,1754,신규,25.07~27.07,,
11650,331,"90,000",2023,2025,5,31,잠원동,신반포르엘,107.97,30,165,갱신,25.08~27.08,"90,000",300
11650,130,"20,000",2010,2025,5,1,반포동,반포리체,59.994,30,30-26,신규,25.05~26.10,,
11650,260,"30,000",2014,2025,5,17,신원동,서초포레스타5단지,84.51,8,579,신규,25.07~27.07,,
11650,125,"3,000",2013,2025,5,24,서초동,한라비발디스튜디오193,35.91,9,1363-25,신규,25.07~26.07,,
11650,0,"190,000",2025,2025,5,19,잠원동,메이플자이,99.2928,8,60-3,신규,25.07~27.07,,
11650,20,"130,000",2021,2025,5,31,반포동,디에이치반포라클라스,59.9928,15,1343,갱신,25.07~27.07,"120,000",
11650,550,"15,000",2002,2025,5,9,반포동,브리앙뜨,148.83,2,107-52,신규,25.07~27.07,,
11650,330,"20,000",2021,2025,5,2,방배동,방배그랑자이,59.9609,2,3283,신규,25.07~27.07,,
11650,560,"40,000",2025,2025,5,19,잠원동,메이플자이,84.8456,24,60-3,신규,25.07~27.07,,
11650,0,"92,000",2019,2025,5,15,방배동,방배 서리풀 그랑블,84.9969,1,3279,갱신,25.07~27.07,"88,000",
11650,0,"105,000",1996,2025,5,15,서초동,서초동아타워,177.26,7,1321-6,신규,25.07~27.07,,
11650,0,"92,000",2019,2025,5,15,방배동,방배 서리풀 그랑블,84.9969,1,3279,갱신,25.07~27.07,"88,000",
11650,50,"58,000",1989,2025,5,24,잠원동,한신타운,63.94,11,60-4,신규,25.07~27.07,,
11650,0,"75,000",2012,2025,5,14,우면동,서초힐스,84.96,12,773,신규,25.06~27.06,,
11650,200,"231,000",2009,2025,5,12,반포동,반포자이,194.515,17,20-43,갱신,25.07~27.07,"211,000",150
11650,0,"117,000",2005,2025,5,14,방배동,브라운스톤방배,97.64,11,899-16,신규,25.07~27.07,,
11650,0,"105,000",2019,2025,5,29,방배동,방배 서리풀 그랑블,84.9948,6,3279,신규,25.08~27.08,,
11650,0,"65,000",2003,2025,5,27,서초동,옥스포드빌라트,75.01,4,1514-6,신규,25.08~27.08,,
11650,0,"155,000",2021,2025,5,30,서초동,서초그랑자이,84.51,10,1757,갱신,25.07~27.07,"145,000",
11650,80,"112,000",2001,2025,5,4,서초동,서초삼성래미안,150.25,13,1641-1,신규,25.07~27.07,,
11650,0,"80,000",1978,2025,5,10,잠원동,신반포2,137.66,1,73,신규,25.07~27.07,,
11650,0,"60,900",2002,2025,5,24,서초동,서초동삼성쉐르빌2,70.49,6,1330,신규,25.07~27.07,,
11650,0,"44,000",1994,2025,5,17,우면동,코오롱,52.47,4,70,갱신,25.07~27.07,"44,000",
11650,0,"50,000",1978,2025,5,11,잠원동,신반포2,68.91,8,73,신규,25.07~27.07,,
11650,265,"70,000",2010,2025,5,17,반포동,반포리체,84.967,2,30-26,갱신,25.05~27.05,"70,000",240
11650,330,"70,000",2025,2025,5,15,잠원동,메이플자이,84.2537,2,60-3,신규,25.06~27.06,,
11650,423,"20,000",2023,2025,5,24,잠원동,신반포르엘,84.94,23,165,갱신,25.08~27.08,"20,000",400
11650,0,"175,000",2025,2025,5,21,잠원동,메이플자이,80.5536,15,60-3,신규,25.07~27.07,,
11650,0,"50,000",1994,2025,5,1,우면동,한라,59.98,2,67,신규,25.07~27.07,,
11650,0,"85,500",1998,2025,5,15,서초동,우성아파트,76.67,10,1326-17,신규,25.07~27.07,,
11650,0,"75,000",1998,2025,5,1,서초동,우성아파트,59.93,16,1326-17,신규,25.07~27.07,,
11650,75,"60,000",1998,2025,5,1,서초동,우성아파트,59.93,17,1326-17,신규,25.07~27.07,,
11650,128,"3,000",1978,2025,5,7,잠원동,신반포2,68.91,11,73,갱신,25.07~27.07,"3,000",121
11650,0,"290,000",2023,2025,5,23,반포동,래미안원베일리,116.95,4,1,신규,25.07~27.08,,
11650,330,"20,000",1983,2025,5,31,방배동,방배신삼호,164.97,4,725,신규,25.07~27.07,,
11650,0,"129,000",2025,2025,5,29,잠원동,메이플자이,59.1662,13,60-3,신규,25.08~27.08,,
11650,0,"123,000",2025,2025,5,23,잠원동,메이플자이,59.5368,5,60-3,신규,25.08~27.08,,
11650,650,"20,000",2016,2025,5,28,반포동,아크로리버파크,84.99,18,2-12,갱신,25.08~27.08,"20,000",620
11650,115,"1,000",2004,2025,5,19,서초동,풍림아이원플러스,34.4237,12,1338-1,신규,25.06~27.06,,
11650,420,"10,000",2017,2025,5,7,서초동,서초푸르지오써밋,59.62,20,1311-10,신규,25.06~27.06,,
11650,0,"141,000",2018,2025,5,20,서초동,래미안서초에스티지S,84.96,14,1754,신규,25.08~28.02,,
11650,380,"30,000",2025,2025,5,23,잠원동,메이플자이,59.1662,14,60-3,신규,25.08~27.08,,
11650,100,"10,000",1982,2025,5,25,잠원동,신반포12,75.79,10,50-5,신규,25.07~27.07,,
11650,150,"110,000",2025,2025,5,31,잠원동,메이플자이,84.8456,5,60-3,신규,25.07~27.07,,
11650,0,"78,000",2013,2025,5,20,우면동,호반써밋서초파크뷰,84.95,13,789,갱신,25.07~26.07,"78,000",
11650,0,"80,000",1987,2025,5,24,반포동,반포미도,84.96,15,60-4,신규,25.07~27.08,,
11650,0,"168,000",2002,2025,5,15,방배동,비욘디에,161.95,3,764,갱신,25.08~27.08,"168,000",
11650,400,"30,000",2025,2025,5,18,잠원동,메이플자이,59.5368,32,60-3,신규,25.07~27.07,,
11650,144,"1,000",2003,2025,5,24,서초동,대림서초리시온,49.92,3,1671-5,신규,25.07~27.07,,
11650,0,"100,000",1983,2025,5,31,방배동,방배신삼호,164.55,10,725,신규,25.12~27.12,,
11650,0,"35,200",2018,2025,5,29,서초동,헤센파크힐,19.27,3,1633-4,신규,25.08~27.08,,
11650,240,"190,000",2025,2025,5,22,잠원동,메이플자이,124.4237,7,60-3,신규,25.07~27.07,,
11650,0,"80,000",1979,2025,5,3,잠원동,신반포4,105.44,3,70,신규,25.07~27.07,,
11650,140,"70,000",2021,2025,5,31,서초동,서초그랑자이,59.98,23,1757,갱신,25.08~27.08,"50,000",220
11650,0,"150,000",2009,2025,5,10,반포동,래미안퍼스티지,59.89,28,18-1,신규,25.07~27.07,,
11650,0,"150,000",2025,2025,5,18,잠원동,메이플자이,124.4237,14,60-3,신규,25.07~27.07,,
11650,0,"210,000",2021,2025,5,20,서초동,서초그랑자이,119.41,8,1757,신규,25.08~27.08,,
11650,0,"182,000",2021,2025,5,17,서초동,서초그랑자이,100.31,25,1757,신규,25.07~27.07,,
11650,420,"30,000",2009,2025,5,13,반포동,래미안퍼스티지,59.96,19,18-1,신규,25.07~27.07,,
11650,460,"15,000",2025,2025,5,28,잠원동,메이플자이,59.1662,9,60-3,신규,25.07~27.07,,
11650,440,"30,000",2003,2025,5,13,반포동,프라임빌라트,131.72,2,98-4,신규,25.07~27.07,,
11650,0,"110,000",2017,2025,5,3,서초동,서초푸르지오써밋,59.62,18,1311-10,신규,25.07~27.07,,
11650,0,"112,300",2021,2025,5,8,서초동,서초그랑자이,59.98,9,1757,갱신,25.07~27.07,"107,000",
11650,0,"85,000",2014,2025,5,31,내곡동,서초더샵포레,84.41,8,411,신규,25.07~27.07,,
11650,970,"30,000",2025,2025,5,19,잠원동,메이플자이,124.4237,4,60-3,신규,25.07~28.07,,
11650,60,"60,000",2012,2025,5,17,우면동,서초힐스,74.96,4,773,신규,25.08~27.08,,
11650,400,"125,000",2025,2025,5,27,잠원동,메이플자이,135.141,20,60-3,신규,25.07~27.07,,
11650,160,"160,000",2004,2025,5,17,서초동,아크로비스타,151.61,3,1685-3,신규,25.06~27.12,,
11650,500,"125,000",2025,2025,5,27,잠원동,메이플자이,135.141,20,60-3,신규,25.07~27.07,,
11650,0,"168,000",2021,2025,5,20,서초동,서초그랑자이,100.31,24,1757,갱신,25.08~27.08,"160,000",
11650,280,"50,000",2023,2025,5,3,잠원동,신반포르엘,84.92,10,165,갱신,25.06~27.06,"50,000",260
11650,390,"30,000",2025,2025,5,4,잠원동,메이플자이,59.1662,5,60-3,신규,25.07~27.07,,
11650,0,"125,000",2025,2025,5,18,잠원동,메이플자이,59.5368,12,60-3,신규,25.08~27.08,,
11650,0,"92,000",2019,2025,5,15,방배동,방배 서리풀 그랑블,84.9969,1,3279,갱신,25.07~27.07,"88,000",
11650,0,"165,000",2025,2025,5,17,잠원동,메이플자이,84.2537,2,60-3,신규,25.07~27.07,,
11650,424,"20,000",2016,2025,5,30,잠원동,래미안신반포팰리스,84.46,15,158,갱신,25.07~27.07,"20,000",400
11650,215,"30,000",1987,2025,5,15,반포동,반포미도,84.96,3,60-4,신규,25.08~27.08,,
11650,150,"90,000",2025,2025,5,21,잠원동,메이플자이,59.1662,29,60-3,신규,25.08~27.08,,
11650,0,"55,000",1989,2025,5,27,반포동,반포미도2차아파트,71.49,7,60-5,갱신,25.07~27.07,"50,000",
11650,400,"30,000",2025,2025,5,18,잠원동,메이플자이,59.5368,32,60-3,신규,25.07~27.07,,
11650,250,"8,000",1996,2025,5,19,양재동,우성KBS(113동),84.69,1,160-2,신규,25.06~27.05,,
11650,360,"20,000",2003,2025,5,17,서초동,서초래미안,96.87,17,1682,신규,25.08~27.08,,
11650,0,"45,150",1987,2025,5,2,반포동,한신서래,45.72,5,70-1,신규,25.08~27.08,,
11650,0,"68,250",2013,2025,5,27,우면동,서초네이처힐3단지,84.84,12,717,갱신,25.07~27.07,"65,000",
11650,330,"17,000",2020,2025,5,15,서초동,서초센트럴IPARK,80.5981,8,1582-3,신규,25.06~27.06,,
11650,0,"125,000",2025,2025,5,18,잠원동,메이플자이,59.5368,5,60-3,신규,25.08~27.08,,
